id,age,gender,state,country,latitude,longitude,traffic_source,user_id,order_id,status,sale_price
22279,68,F,Dolnośląskie,Poland,51.22152827,15.72695507,Search,22279,27603,Complete,105.0
22823,69,F,Dolnośląskie,Poland,51.22152827,15.72695507,Search,22823,28262,Complete,25.0
22823,69,F,Dolnośląskie,Poland,51.22152827,15.72695507,Search,22823,28262,Complete,22.5
22823,69,F,Dolnośląskie,Poland,51.22152827,15.72695507,Search,22823,28262,Complete,24.989999771118164
22823,69,F,Dolnośląskie,Poland,51.22152827,15.72695507,Search,22823,28262,Complete,39.979999542236328
34687,24,F,Dolnośląskie,Poland,51.22152827,15.72695507,Organic,34687,42952,Complete,39.9900016784668
34687,24,F,Dolnośląskie,Poland,51.22152827,15.72695507,Organic,34687,42952,Complete,5.9899997711181641
34687,24,F,Dolnośląskie,Poland,51.22152827,15.72695507,Organic,34687,42952,Complete,19.989999771118164
34687,24,F,Dolnośląskie,Poland,51.22152827,15.72695507,Organic,34687,42952,Complete,20.899999618530277
34690,70,F,Dolnośląskie,Poland,51.22152827,15.72695507,Search,34690,42957,Complete,69.0
34690,70,F,Dolnośląskie,Poland,51.22152827,15.72695507,Search,34690,42957,Complete,198.0
34690,70,F,Dolnośląskie,Poland,51.22152827,15.72695507,Search,34690,42957,Complete,14.989999771118164
37483,65,F,Dolnośląskie,Poland,51.22152827,15.72695507,Display,37483,46477,Complete,25.0
43997,23,F,Dolnośląskie,Poland,51.22152827,15.72695507,Search,43997,54643,Complete,17.950000762939453
62539,37,F,Dolnośląskie,Poland,51.22152827,15.72695507,Search,62539,77953,Complete,52.130001068115234
63797,59,F,Dolnośląskie,Poland,51.22152827,15.72695507,Search,63797,79549,Complete,32.5
70856,29,F,Dolnośląskie,Poland,51.22152827,15.72695507,Organic,70856,88341,Complete,21.989999771118164
70856,29,F,Dolnośląskie,Poland,51.22152827,15.72695507,Organic,70856,88341,Complete,23.989999771118164
70856,29,F,Dolnośląskie,Poland,51.22152827,15.72695507,Organic,70856,88341,Complete,22.799999237060547
70856,29,F,Dolnośląskie,Poland,51.22152827,15.72695507,Organic,70856,88341,Complete,27.819999694824215
78522,68,F,Dolnośląskie,Poland,51.22152827,15.72695507,Search,78522,97897,Complete,10.0
78522,68,F,Dolnośląskie,Poland,51.22152827,15.72695507,Search,78522,97897,Complete,67.5
78522,68,F,Dolnośląskie,Poland,51.22152827,15.72695507,Search,78522,97897,Complete,99.5
87975,21,F,Dolnośląskie,Poland,51.22152827,15.72695507,Search,87975,109574,Complete,61.5
89086,24,F,Dolnośląskie,Poland,51.22152827,15.72695507,Search,89086,110921,Complete,10.0
89086,24,F,Dolnośląskie,Poland,51.22152827,15.72695507,Search,89086,110921,Complete,58.819999694824219
99776,43,F,Dolnośląskie,Poland,51.22152827,15.72695507,Search,99776,124216,Complete,80.0
17996,50,M,Dolnośląskie,Poland,51.22152827,15.72695507,Facebook,17996,22222,Complete,89.989997863769531
33822,13,M,Dolnośląskie,Poland,51.22152827,15.72695507,Search,33822,41892,Complete,259.0
33822,13,M,Dolnośląskie,Poland,51.22152827,15.72695507,Search,33822,41892,Complete,349.17001342773438
